년도,구분,죄종,발생검거,건수
2011,중부,살인,발생,2
2011,중부,살인,검거,3
2011,중부,강도,발생,14
2011,중부,강도,검거,19
2011,중부,강간,발생,89
2011,중부,강간,검거,60
2011,중부,절도,발생,1266
2011,중부,절도,검거,457
2011,중부,폭력,발생,1622
2011,중부,폭력,검거,1369
2011,종로,살인,발생,6
2011,종로,살인,검거,5
2011,종로,강도,발생,16
2011,종로,강도,검거,12
2011,종로,강간,발생,80
2011,종로,강간,검거,82
2011,종로,절도,발생,1001
2011,종로,절도,검거,534
2011,종로,폭력,발생,1296
2011,종로,폭력,검거,1090
2011,남대문,살인,발생,1
2011,남대문,살인,검거,2
2011,남대문,강도,발생,7
2011,남대문,강도,검거,9
2011,남대문,강간,발생,62
2011,남대문,강간,검거,50
2011,남대문,절도,발생,984
2011,남대문,절도,검거,461
2011,남대문,폭력,발생,1043
2011,남대문,폭력,검거,895
2011,서대문,살인,발생,6
2011,서대문,살인,검거,6
2011,서대문,강도,발생,26
2011,서대문,강도,검거,23
2011,서대문,강간,발생,174
2011,서대문,강간,검거,145
2011,서대문,절도,발생,1879
2011,서대문,절도,검거,702
2011,서대문,폭력,발생,1962
2011,서대문,폭력,검거,1604
2011,혜화,살인,발생,2
2011,혜화,살인,검거,2
2011,혜화,강도,발생,20
2011,혜화,강도,검거,16
2011,혜화,강간,발생,98
2011,혜화,강간,검거,75
2011,혜화,절도,발생,941
2011,혜화,절도,검거,425
2011,혜화,폭력,발생,1464
2011,혜화,폭력,검거,1287
2011,용산,살인,발생,13
2011,용산,살인,검거,13
2011,용산,강도,발생,47
2011,용산,강도,검거,36
2011,용산,강간,발생,172
2011,용산,강간,검거,153
2011,용산,절도,발생,1592
2011,용산,절도,검거,555
2011,용산,폭력,발생,2454
2011,용산,폭력,검거,1967
2011,성북,살인,발생,5
2011,성북,살인,검거,3
2011,성북,강도,발생,10
2011,성북,강도,검거,8
2011,성북,강간,발생,99
2011,성북,강간,검거,59
2011,성북,절도,발생,904
2011,성북,절도,검거,425
2011,성북,폭력,발생,1274
2011,성북,폭력,검거,1066
2011,동대문,살인,발생,14
2011,동대문,살인,검거,11
2011,동대문,강도,발생,72
2011,동대문,강도,검거,69
2011,동대문,강간,발생,222
2011,동대문,강간,검거,196
2011,동대문,절도,발생,2046
2011,동대문,절도,검거,931
2011,동대문,폭력,발생,2727
2011,동대문,폭력,검거,2313
2011,마포,살인,발생,3
2011,마포,살인,검거,3
2011,마포,강도,발생,22
2011,마포,강도,검거,22
2011,마포,강간,발생,172
2011,마포,강간,검거,143
2011,마포,절도,발생,2105
2011,마포,절도,검거,647
2011,마포,폭력,발생,2740
2011,마포,폭력,검거,2275
2011,영등포,살인,발생,18
2011,영등포,살인,검거,19
2011,영등포,강도,발생,53
2011,영등포,강도,검거,40
2011,영등포,강간,발생,221
2011,영등포,강간,검거,163
2011,영등포,절도,발생,2688
2011,영등포,절도,검거,879
2011,영등포,폭력,발생,4143
2011,영등포,폭력,검거,3338
2011,성동,살인,발생,7
2011,성동,살인,검거,6
2011,성동,강도,발생,24
2011,성동,강도,검거,17
2011,성동,강간,발생,98
2011,성동,강간,검거,74
2011,성동,절도,발생,1376
2011,성동,절도,검거,467
2011,성동,폭력,발생,1729
2011,성동,폭력,검거,1456
2011,동작,살인,발생,5
2011,동작,살인,검거,6
2011,동작,강도,발생,22
2011,동작,강도,검거,12
2011,동작,강간,발생,249
2011,동작,강간,검거,84
2011,동작,절도,발생,1722
2011,동작,절도,검거,527
2011,동작,폭력,발생,1932
2011,동작,폭력,검거,1594
2011,광진,살인,발생,11
2011,광진,살인,검거,11
2011,광진,강도,발생,48
2011,광진,강도,검거,38
2011,광진,강간,발생,260
2011,광진,강간,검거,226
2011,광진,절도,발생,2418
2011,광진,절도,검거,1065
2011,광진,폭력,발생,2867
2011,광진,폭력,검거,2301
2011,서부,살인,발생,4
2011,서부,살인,검거,4
2011,서부,강도,발생,7
2011,서부,강도,검거,17
2011,서부,강간,발생,71
2011,서부,강간,검거,75
2011,서부,절도,발생,909
2011,서부,절도,검거,376
2011,서부,폭력,발생,1353
2011,서부,폭력,검거,1086
2011,강북,살인,발생,7
2011,강북,살인,검거,6
2011,강북,강도,발생,30
2011,강북,강도,검거,18
2011,강북,강간,발생,168
2011,강북,강간,검거,128
2011,강북,절도,발생,1522
2011,강북,절도,검거,543
2011,강북,폭력,발생,2689
2011,강북,폭력,검거,2293
2011,금천,살인,발생,14
2011,금천,살인,검거,14
2011,금천,강도,발생,30
2011,금천,강도,검거,24
2011,금천,강간,발생,107
2011,금천,강간,검거,89
2011,금천,절도,발생,1527
2011,금천,절도,검거,753
2011,금천,폭력,발생,2399
2011,금천,폭력,검거,1960
2011,중랑,살인,발생,10
2011,중랑,살인,검거,10
2011,중랑,강도,발생,46
2011,중랑,강도,검거,55
2011,중랑,강간,발생,204
2011,중랑,강간,검거,186
2011,중랑,절도,발생,1898
2011,중랑,절도,검거,778
2011,중랑,폭력,발생,3771
2011,중랑,폭력,검거,3246
2011,강남,살인,발생,15
2011,강남,살인,검거,14
2011,강남,강도,발생,47
2011,강남,강도,검거,25
2011,강남,강간,발생,282
2011,강남,강간,검거,174
2011,강남,절도,발생,2442
2011,강남,절도,검거,711
2011,강남,폭력,발생,3195
2011,강남,폭력,검거,2747
2011,관악,살인,발생,19
2011,관악,살인,검거,17
2011,관악,강도,발생,54
2011,관악,강도,검거,36
2011,관악,강간,발생,361
2011,관악,강간,검거,222
2011,관악,절도,발생,2694
2011,관악,절도,검거,775
2011,관악,폭력,발생,3826
2011,관악,폭력,검거,3119
2011,강서,살인,발생,18
2011,강서,살인,검거,20
2011,강서,강도,발생,45
2011,강서,강도,검거,43
2011,강서,강간,발생,215
2011,강서,강간,검거,182
2011,강서,절도,발생,2776
2011,강서,절도,검거,861
2011,강서,폭력,발생,3346
2011,강서,폭력,검거,2748
2011,강동,살인,발생,7
2011,강동,살인,검거,6
2011,강동,강도,발생,36
2011,강동,강도,검거,31
2011,강동,강간,발생,191
2011,강동,강간,검거,142
2011,강동,절도,발생,2426
2011,강동,절도,검거,1011
2011,강동,폭력,발생,3065
2011,강동,폭력,검거,2532
2011,종암,살인,발생,4
2011,종암,살인,검거,4
2011,종암,강도,발생,17
2011,종암,강도,검거,15
2011,종암,강간,발생,75
2011,종암,강간,검거,65
2011,종암,절도,발생,971
2011,종암,절도,검거,382
2011,종암,폭력,발생,1055
2011,종암,폭력,검거,886
2011,구로,살인,발생,12
2011,구로,살인,검거,10
2011,구로,강도,발생,39
2011,구로,강도,검거,24
2011,구로,강간,발생,326
2011,구로,강간,검거,150
2011,구로,절도,발생,2014
2011,구로,절도,검거,984
2011,구로,폭력,발생,3327
2011,구로,폭력,검거,2804
2011,서초,살인,발생,7
2011,서초,살인,검거,4
2011,서초,강도,발생,28
2011,서초,강도,검거,15
2011,서초,강간,발생,283
2011,서초,강간,검거,147
2011,서초,절도,발생,1733
2011,서초,절도,검거,741
2011,서초,폭력,발생,1866
2011,서초,폭력,검거,1576
2011,양천,살인,발생,4
2011,양천,살인,검거,4
2011,양천,강도,발생,29
2011,양천,강도,검거,25
2011,양천,강간,발생,131
2011,양천,강간,검거,89
2011,양천,절도,발생,2016
2011,양천,절도,검거,698
2011,양천,폭력,발생,2627
2011,양천,폭력,검거,2062
2011,송파,살인,발생,6
2011,송파,살인,검거,5
2011,송파,강도,발생,54
2011,송파,강도,검거,38
2011,송파,강간,발생,292
2011,송파,강간,검거,209
2011,송파,절도,발생,4004
2011,송파,절도,검거,845
2011,송파,폭력,발생,3735
2011,송파,폭력,검거,2915
2011,노원,살인,발생,8
2011,노원,살인,검거,8
2011,노원,강도,발생,25
2011,노원,강도,검거,18
2011,노원,강간,발생,169
2011,노원,강간,검거,138
2011,노원,절도,발생,1723
2011,노원,절도,검거,890
2011,노원,폭력,발생,2594
2011,노원,폭력,검거,2234
2011,방배,살인,발생,2
2011,방배,살인,검거,2
2011,방배,강도,발생,11
2011,방배,강도,검거,7
2011,방배,강간,발생,40
2011,방배,강간,검거,35
2011,방배,절도,발생,565
2011,방배,절도,검거,234
2011,방배,폭력,발생,643
2011,방배,폭력,검거,562
2011,은평,살인,발생,10
2011,은평,살인,검거,8
2011,은평,강도,발생,21
2011,은평,강도,검거,13
2011,은평,강간,발생,82
2011,은평,강간,검거,73
2011,은평,절도,발생,1072
2011,은평,절도,검거,431
2011,은평,폭력,발생,1617
2011,은평,폭력,검거,1339
2011,도봉,살인,발생,10
2011,도봉,살인,검거,10
2011,도봉,강도,발생,29
2011,도봉,강도,검거,30
2011,도봉,강간,발생,100
2011,도봉,강간,검거,99
2011,도봉,절도,발생,1418
2011,도봉,절도,검거,375
2011,도봉,폭력,발생,1700
2011,도봉,폭력,검거,1440
2011,수서,살인,발생,8
2011,수서,살인,검거,5
2011,수서,강도,발생,26
2011,수서,강도,검거,30
2011,수서,강간,발생,159
2011,수서,강간,검거,109
2011,수서,절도,발생,1780
2011,수서,절도,검거,422
2011,수서,폭력,발생,2000
